"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","752","@smoke Verify Items are by price low to high","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","667","@smoke Verify Inventory Page Has the Correct Logo","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","996","@smoke Cart Page: Validate Carts [Sauce Labs Backpack]","chromium","2026-06-27","passed","2026-06-27","Cart","cart.spec.ts","",""
"","794","@smoke Verify Items are by price High to Low","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","1028","@smoke Checkout-Step-One Page: Validate Carts [Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt]","chromium","2026-06-27","passed","2026-06-27","Checkout Step One","checkoutStepOne.spec.ts","",""
"","714","@regression With Username:standard_user and Password:souey_sauce","chromium","2026-06-27","passed","2026-06-27","Login > Login with valid user name and invalid password","login.spec.ts","",""
"","827","@regression With Username:visual_user and Password:secret_sauce","chromium","2026-06-27","passed","2026-06-27","Login > Login with valid user name and valid password","login.spec.ts","",""
"","3785","@smoke Verify Twitter Navigation From the Footer on the Inventory Page","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","802","@regression With Username:standard_user and Password:secret_sauce","chromium","2026-06-27","passed","2026-06-27","Login > Login with valid user name and valid password","login.spec.ts","",""
"","1049","@smoke Validate going back to Inventory Page","chromium","2026-06-27","passed","2026-06-27","Cart","cart.spec.ts","",""
